epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3680.25,2.47976,2.98304,2.83303,0.24112,0.23958,0.1405,0.05307,4.38913,6.35325,4.47498,0.0016172,0.0016172,0.0016172
60,3744.79,2.62493,3.15063,2.8698,0.41951,0.22917,0.17125,0.0665,4.4245,6.20693,4.45266,0.0016106,0.0016106,0.0016106
61,3806.77,2.56514,2.99745,2.82244,0.41908,0.25,0.20234,0.0771,4.47788,6.02122,4.57217,0.001604,0.001604,0.001604
62,3868.28,2.46654,2.91849,2.75254,0.38415,0.26641,0.19841,0.06782,4.58494,5.96789,4.6694,0.0015974,0.0015974,0.0015974
63,3929.85,2.50421,2.86709,2.80861,0.44035,0.23958,0.20608,0.07473,4.57139,6.27827,4.53109,0.0015908,0.0015908,0.0015908
64,3991.95,2.4042,2.80434,2.71655,0.47393,0.21354,0.19115,0.07054,4.60626,6.48894,4.57035,0.0015842,0.0015842,0.0015842
65,4053.44,2.43719,2.81846,2.78102,0.3957,0.20804,0.16633,0.06578,4.62064,6.50592,4.63128,0.0015776,0.0015776,0.0015776
66,4115.07,2.40839,2.74177,2.73801,0.40999,0.17188,0.1269,0.05565,4.42417,6.7738,4.49989,0.001571,0.001571,0.001571
67,4176.96,2.42037,2.73395,2.70699,0.43001,0.15326,0.13934,0.05864,4.3136,6.64706,4.29279,0.0015644,0.0015644,0.0015644
68,4238.31,2.45139,2.83805,2.81083,0.28374,0.22917,0.1683,0.06897,4.41345,6.91138,4.43001,0.0015578,0.0015578,0.0015578
69,4300.52,2.31592,2.57902,2.65183,0.44098,0.20833,0.1873,0.08207,4.50542,6.75586,4.57169,0.0015512,0.0015512,0.0015512
70,4361.69,2.41443,2.80711,2.74161,0.38897,0.21875,0.19673,0.07546,4.5369,6.77743,4.67738,0.0015446,0.0015446,0.0015446
71,4423.14,2.46111,2.65737,2.78438,0.44662,0.19271,0.1929,0.07584,4.40103,6.51153,4.56546,0.001538,0.001538,0.001538
72,4484.19,2.36957,2.66955,2.67349,0.42898,0.27083,0.22191,0.08908,4.53315,5.58254,4.64595,0.0015314,0.0015314,0.0015314
73,4545.58,2.42415,2.64384,2.71458,0.40511,0.25521,0.2285,0.08456,4.55061,5.51556,4.64456,0.0015248,0.0015248,0.0015248
74,4607.33,2.49462,2.69473,2.76433,0.38579,0.23438,0.20475,0.07634,4.55898,5.62662,4.54277,0.0015182,0.0015182,0.0015182
